c_q,P1,param,E[R_pi],E[R_pi^2],Sharpe,R2_paper,||beta_hat||^2
0.5,100,0.0,-0.06747593243458301,1.1157128487999537,-0.0638811428854857,-1.2968357281188203,1.1293742328648306
0.75,150,0.0,0.1883802057361502,2.8426349538933944,0.11173126631244333,-2.8243305170124984,3.4038713346129827
0.9,180,0.0,0.34155668300370307,6.597889530828997,0.1329720203469331,-5.011976692876625,6.427343404370488
0.95,190,0.0,0.33913484293865936,14.13794850267905,0.0901943252789877,-14.375167038035741,15.71453055753099
0.98,196,0.0,0.2786757821370184,40.70111133911475,0.04368135430237701,-43.59399375999449,47.727526747625156
1.02,204,0.0,0.05238511237387208,116.52777307980878,0.004852808530936861,-87.83467041746601,99.48892316283755
1.05,210,0.0,0.38539562724833504,18.232534882237754,0.0902574908949993,-24.593080711817123,26.973849606994772
1.1,220,0.0,0.2870595970794195,9.02341765653268,0.09556228841305259,-9.007404432241357,9.508286733873163
1.25,250,0.0,0.10781897193941227,3.7672275159334196,0.05555002538194479,-4.0056553022513794,3.980047973303307
1.5,300,0.0,0.23499924051199259,1.6748823978916443,0.18158262894014449,-1.5785534026099168,2.1434937173619777
2.0,400,0.0,0.06471807150354916,0.9277574317239629,0.0671905732766356,-0.9326130336943479,1.1374297447720145
3.0,600,0.0,0.019194233397086764,0.4492202860890121,0.028637894930095654,-0.5144973124185287,0.5833694967823683
5.0,1000,0.0,0.03462117401730679,0.25051967552795573,0.06917049293170041,-0.1671360927181284,0.28642086260173033
7.0,1400,0.0,0.06370436353400728,0.21064092485117478,0.1388026649916777,-0.06466119060819563,0.18759677485685505
10.0,2000,0.0,0.04156304036106366,0.1430012220934848,0.10991005734494522,-0.06091993480915133,0.12674642126920874
0.5,100,0.1,-0.044527632491599564,0.659039584192619,-0.05484964919244582,-0.765313978235759,0.6380605535763986
0.75,150,0.1,0.05142124201941839,0.8543740605210373,0.05563121371627082,-0.9945206446135859,1.0291505766751994
0.9,180,0.1,0.096805378289481,0.9090563619842669,0.10153226652411662,-0.8921155011068408,1.088522680532005
0.95,190,0.1,0.10204158929822887,1.019854740963251,0.1010434240197026,-0.9625179816206817,1.1386802612787532
0.98,196,0.1,0.08014911668989633,1.143423425033721,0.07495406617239919,-1.060648343397642,1.1743869114475811
1.02,204,0.1,0.08517314778329454,1.1437969933097458,0.0796394446081751,-1.0758672739226023,1.175308474860956
1.05,210,0.1,0.09816932343332922,1.2065821943300181,0.08937114908134518,-1.0963920258524795,1.2062343091229004
1.1,220,0.1,0.12263410246093255,1.381186171051807,0.10434824428005449,-1.1073275719203803,1.2740766006797926
1.25,250,0.1,0.12345848694472647,1.2233495022965548,0.11162093994232682,-1.1243607894069962,1.2541135602671332
1.5,300,0.1,0.16684766522564756,0.940085592456877,0.17208239243034382,-0.8020559520084776,1.1499708607909491
2.0,400,0.1,0.04234045949629294,0.6863741242481303,0.051106379498295725,-0.6857874533148979,0.8199154658149463
3.0,600,0.1,0.018714487440750917,0.39407633634754136,0.02981176976379519,-0.44038423328147813,0.5028101390054545
5.0,1000,0.1,0.03379979533355354,0.23590218551386377,0.06959020058723349,-0.15523470416628588,0.26936555268282725
7.0,1400,0.1,0.062404644239726255,0.20286583617451684,0.13855188986329342,-0.06052705128675713,0.18072011994060852
10.0,2000,0.1,0.041057949567931386,0.13958401221832795,0.10989537571517796,-0.05848536452333231,0.12374763126895037
0.5,100,0.25,-0.03118502818871777,0.4277324870957679,-0.04768261034267527,-0.4935496986177651,0.4012199941500413
0.75,150,0.25,0.022142622335492766,0.48792222232522875,0.03169959791585632,-0.5726216001911703,0.559401714474546
0.9,180,0.25,0.05986856714440328,0.5404409148649943,0.08143756016386361,-0.5071789025419524,0.6108278619313161
0.95,190,0.25,0.06596351558195533,0.5738239202976079,0.08707920783626037,-0.520273022613541,0.6288400972142287
0.98,196,0.25,0.057893774862916816,0.6267401055670218,0.0731287457342757,-0.5665064364181831,0.64571519400171
1.02,204,0.25,0.05811278213703858,0.634613896271603,0.07294858611460976,-0.5772682035182757,0.6410554303344027
1.05,210,0.25,0.06853712910448098,0.6707525337378968,0.08368444644950519,-0.5906634809286484,0.6579495608414226
1.1,220,0.25,0.07844015554277237,0.7195619733459534,0.09247074234450735,-0.5792722431132716,0.6817625011861983
1.25,250,0.25,0.09124748279201672,0.7054460776263484,0.10863980590946874,-0.5902901225213394,0.7026579261736479
1.5,300,0.25,0.1154550490476114,0.591561203731831,0.15011119701547782,-0.46654450042793233,0.6958583471622489
2.0,400,0.25,0.02531150764506208,0.50828597514665,0.03550290993954019,-0.5058519993008666,0.5842926174800016
3.0,600,0.25,0.01807718340428444,0.3336360091284996,0.031296394346469344,-0.3605099360306241,0.416338736526667
5.0,1000,0.25,0.032658646342773795,0.2166800726510247,0.0701598567421766,-0.13972287992685023,0.2469741148732446
7.0,1400,0.25,0.060565914490201385,0.19208688067996071,0.13819089419422742,-0.05483902206826027,0.17117708614284446
10.0,2000,0.25,0.040325897059492286,0.1346989429392225,0.1098757729795904,-0.055027922932020024,0.11946006126026265
0.5,100,0.5,-0.02165642332916556,0.26967872944685206,-0.04170262430155277,-0.3103926419866193,0.2472948058288185
0.75,150,0.5,0.00879813612681266,0.30028046337193137,0.01605562213223597,-0.34508180721867254,0.32408557740508465
0.9,180,0.5,0.03971558861396784,0.338059043473638,0.06830692332819013,-0.2962184393663429,0.35821178776821594
0.95,190,0.5,0.0460889583182368,0.3476031760504248,0.07817268420711085,-0.29692460623352385,0.3697862680437491
0.98,196,0.5,0.041161987597721356,0.37092709988227396,0.06758527036681503,-0.32113972774294286,0.37784435246532055
1.02,204,0.5,0.03851922691228811,0.3790081616555412,0.06256814524333117,-0.3334653100274386,0.3755148981343594
1.05,210,0.5,0.04631964593861272,0.3973811733068277,0.07347872082747987,-0.33806489565690145,0.3834353905055749
1.1,220,0.5,0.0492615235836707,0.41268017027581405,0.07668334328528187,-0.33420316818811735,0.3939640164325507
1.25,250,0.5,0.0627381534669537,0.4251211669424674,0.09622221891147542,-0.3277627173054424,0.4126017182699051
1.5,300,0.5,0.07539254001598436,0.3720182753424179,0.12360790269786598,-0.27417433653073475,0.4196523571122224
2.0,400,0.5,0.012398871549689003,0.3625336168480305,0.020592449939828953,-0.3587284513795613,0.39536018796982025
3.0,600,0.5,0.017128290897303847,0.26604868185251646,0.03320729302090305,-0.27377295155252107,0.32255670430419286
5.0,1000,0.5,0.030958861995671123,0.19025192792415,0.07097746023268767,-0.11867625595261376,0.21626738794632816
7.0,1400,0.5,0.05776259535777392,0.17614988716905533,0.1376275927939252,-0.046532125308609604,0.15704887397900505
10.0,2000,0.5,0.03916910381410965,0.12714444164492733,0.10984870605121143,-0.049737206967275335,0.11282784148914307
0.5,100,1.0,-0.014130455540843806,0.14725669996385635,-0.03682295448463398,-0.171458108791445,0.13279356592681535
0.75,150,1.0,0.001239896836258847,0.16917367117406698,0.003014526908937888,-0.189707713411503,0.1702881875266148
0.9,180,1.0,0.024979740560493843,0.19257480414657407,0.05692305380671967,-0.15317336644945764,0.18944355416830655
0.95,190,1.0,0.03056614444538893,0.1937793071382535,0.06943636249476598,-0.14949611127859067,0.19658579334934487
0.98,196,1.0,0.026721702779244773,0.2027320798081801,0.05934756314644977,-0.16285054292225234,0.1998135791114325
1.02,204,1.0,0.022312130145427364,0.20855643450960357,0.04885727466940966,-0.17667287620088715,0.20032340640915042
1.05,210,1.0,0.027498648029692797,0.21675971461220508,0.059063891416647585,-0.17659844248144946,0.20357260837123567
1.1,220,1.0,0.027252092089034247,0.22064075622191587,0.05801722857548912,-0.17835209239855637,0.20833022904740023
1.25,250,1.0,0.038120234401977184,0.2334782435148107,0.07889188877424895,-0.16502850446139794,0.21972926525970649
1.5,300,1.0,0.04304252956209955,0.21230144364112566,0.09341600979486189,-0.14696373060213702,0.22760680441412293
2.0,400,1.0,0.003114530276713563,0.23144998538460285,0.006473870059697175,-0.22701296824868133,0.2352792675188417
3.0,600,1.0,0.015480001401130008,0.1880910062934691,0.035693322886426584,-0.17891411647903874,0.2192748339528611
5.0,1000,1.0,0.02813064804199074,0.15159571663280277,0.07224973722205237,-0.08856486423714661,0.17155426143776045
7.0,1400,1.0,0.052953834565994645,0.15021069352281097,0.13663028954343093,-0.03332721755120495,0.13401421074424896
10.0,2000,1.0,0.03706439610279802,0.11392583194051843,0.10981099434595429,-0.04065961015001369,0.10121687545528521
0.5,100,2.0,-0.00885035721426483,0.06801498372691477,-0.03393583195456145,-0.08268046904496985,0.060694496225557504
0.75,150,2.0,-0.0022317762120840335,0.08347716324551696,-0.0077244364246745745,-0.09356680750729161,0.07860714853666609
0.9,180,2.0,0.014686115275126558,0.0957910739993736,0.04745089534623504,-0.06696264612892987,0.08804059073439192
0.95,190,2.0,0.0187805416194856,0.09535279457804831,0.06081929757623201,-0.06250605867471433,0.0916623162961018
0.98,196,2.0,0.015765676959578943,0.09864991972714715,0.050195438842249814,-0.07057962094320835,0.09282931321776666
1.02,204,2.0,0.01109667124788754,0.1018781546272415,0.03476579659109646,-0.08295382198903382,0.09420185047739521
1.05,210,2.0,0.01411677612759008,0.10531684731540195,0.04349973412430618,-0.08175841694218645,0.09561236782041889
1.1,220,2.0,0.012999813789415669,0.10623670122833935,0.039884104275333516,-0.08487729153535807,0.0976920164369373
1.25,250,2.0,0.020624604096791253,0.1139873569128084,0.06108819301956235,-0.0729148330357922,0.1035186901557527
1.5,300,2.0,0.021516240387171783,0.10774162728215143,0.0655502907575621,-0.07051998549276721,0.10951767453953737
2.0,400,2.0,-0.0015923319448733653,0.12856158300856332,-0.0044409716646735585,-0.1260261660582749,0.12172676068571799
3.0,600,2.0,0.012912957976736543,0.11453324307121882,0.038155746837753295,-0.09696169363334316,0.12780328327155846
5.0,1000,2.0,0.02394506794649674,0.10493449960200472,0.07391914345398111,-0.0535827384514283,0.11798927137829493
7.0,1400,2.0,0.04558763489227794,0.1139475155957815,0.13505001322436253,-0.01575755802422687,0.10175495811694928
10.0,2000,2.0,0.0335213455899447,0.09324374380154568,0.1097770591692096,-0.027001167397001986,0.08302885431984944
0.5,100,5.0,-0.004465626833258783,0.01876778936890269,-0.03259686759366147,-0.026431131458665387,0.016630033291146318
0.75,150,5.0,-0.0028392100070099235,0.025346797918758802,-0.017833474530745824,-0.030930034053509844,0.022318732334933887
0.9,180,5.0,0.006590706713185121,0.02930620874054172,0.03849924091111594,-0.015107036152681368,0.025307957378499755
0.95,190,5.0,0.008724790018581334,0.029065244278842148,0.05117619527056908,-0.012012171894676831,0.026380513827859366
0.98,196,5.0,0.006908056161513485,0.029972118999110214,0.03990222705479486,-0.016134084925038764,0.026682847482529373
1.02,204,5.0,0.003514826828755404,0.031067355246777603,0.019941223036721228,-0.023922482710183067,0.0274597222353325
1.05,210,5.0,0.004778670451022244,0.03212044812766247,0.026663446398470843,-0.023003372745119422,0.027989559187512014
1.1,220,5.0,0.003837916266336244,0.032372036692771555,0.021330964026826604,-0.025232618128777654,0.028588902792894576
1.25,250,5.0,0.007955756542443605,0.03518414749441488,0.04241387658200339,-0.018168548390787805,0.030529663340000457
1.5,300,5.0,0.007135734083003582,0.03487443306986529,0.03821070752157455,-0.020946017642754458,0.03342386244237208
2.0,400,5.0,-0.0029686433418559923,0.04519329403964875,-0.013964359640630301,-0.046769884780319154,0.040054798565063957
3.0,600,5.0,0.00855451049764473,0.04521483338465995,0.04023043200597097,-0.029602879061284646,0.04798873994111479
5.0,1000,5.0,0.016822416487665356,0.04876174080146816,0.07618137029891073,-0.014832982529910143,0.054293816024072204
7.0,1400,5.0,0.03261400731226171,0.060816395519963165,0.13224943517594065,0.006620080896963052,0.054436643934700386
10.0,2000,5.0,0.026212136216643804,0.057002449605794876,0.10978819791194117,-0.0053699360770445995,0.051053707585059074
0.5,100,10.0,-0.002505462008777617,0.005964332995710328,-0.032441944758408045,-0.010442024506671324,0.0052728456304125685
0.75,150,10.0,-0.0020667414935253807,0.008515510031309612,-0.022396534646503218,-0.012272607327805007,0.00726554126673663
0.9,180,10.0,0.003412832010941239,0.009885934665201735,0.034324644160670166,-0.0026163317530955485,0.008313517665486948
0.95,190,10.0,0.004566709094962406,0.009808877067998373,0.04610984916508875,-0.0007344004100967057,0.008665835462896128
0.98,196,10.0,0.0034861135232464725,0.01012826106856831,0.03463969679216325,-0.003028388646580243,0.008769683116349281
1.02,204,10.0,0.0013067724124730929,0.010525342160271988,0.012737431046371293,-0.007677259382715262,0.009089293361217735
1.05,210,10.0,0.001926852828475038,0.010914530084974797,0.018443613968268886,-0.007045987719777856,0.009309365510050118
1.1,220,10.0,0.001306341363104564,0.011029312462505403,0.012438913793523017,-0.008406367138563242,0.009514702126431027
1.25,250,10.0,0.0036712681173566852,0.012089468698819003,0.03338969831956286,-0.004212250047623824,0.010221555689194316
1.5,300,10.0,0.0028052289766513005,0.012327018763796306,0.025266162662060422,-0.006599677989422775,0.011472041923974127
2.0,400,10.0,-0.002384003695760556,0.016607145076201008,-0.01849947631546906,-0.019350996890283568,0.014349342560116468
3.0,600,10.0,0.005462935073708918,0.017962889429553406,0.04076035339445453,-0.007491089874756322,0.018584147538068963
5.0,1000,10.0,0.01138172335599389,0.021587434772331767,0.07746535336307755,0.0006552172425334811,0.023885479724044867
7.0,1400,10.0,0.022431160624018,0.029678622561414694,0.1302056634844841,0.0153624675964479,0.026669872554136605
10.0,2000,10.0,0.019363059048892108,0.031084483804645634,0.10982523468452171,0.006844549268683444,0.028036305955229067
0.5,100,25.0,-0.001090973694356115,0.0011271521711676102,-0.032495483484567426,-0.0031516261478889683,0.0009952662182096579
0.75,150,25.0,-0.0010487355689052854,0.0016826338452240867,-0.025566494675807235,-0.0036172745448439826,0.0014038052508335635
0.9,180,25.0,0.0013855404108817913,0.0019601178872482626,0.031295226639769635,0.0008674229485035801,0.0016194549676935342
0.95,190,25.0,0.0018622611097088577,0.0019470801374561603,0.04220351860343076,0.0017164154037067208,0.0016879622989105902
0.98,196,25.0,0.0013767901051761084,0.0020148017784717494,0.03067266937626617,0.0007393251270387369,0.0017097130632502421
1.02,204,25.0,0.0003423211346618049,0.002098917971173281,0.007471984803827863,-0.0013428135670862846,0.0017814467657282262
1.05,210,25.0,0.0005829360799945793,0.0021843765819809335,0.012472605330198196,-0.001002721855299078,0.0018335500711178987
1.1,220,25.0,0.0002818953392328394,0.002214968141726981,0.005989687346607533,-0.0016188554863671787,0.0018760150745163958
1.25,250,25.0,0.0013282774302085087,0.0024475945547692106,0.026848439848778938,0.000305357977063644,0.00202681254318265
1.5,300,25.0,0.0007999838612466137,0.0025569915282817658,0.015820367987195102,-0.0009116509915855613,0.0023289032098120083
2.0,400,25.0,-0.001311883607072175,0.0035478997733304914,-0.02202468135559851,-0.005633164549699008,0.003022180406639787
3.0,600,25.0,0.0026199548926166384,0.004133439250940686,0.040750977867045166,0.0009260156744033,0.0041956985908725595
5.0,1000,25.0,0.005833361410556173,0.005531894462493956,0.07842995057063318,0.005676585492285042,0.0060876557886768885
7.0,1400,25.0,0.011752328158117862,0.008380251895903823,0.1283794093348659,0.014605053732678522,0.007588700899219739
10.0,2000,25.0,0.010947754714635233,0.00994965368151602,0.10975418172342184,0.011302593934374836,0.009071886918679686
0.5,100,50.0,-0.0005630590396979169,0.00029928378083197765,-0.03254710346236852,-0.0013604024347088997,0.0002641735267232909
0.75,150,50.0,-0.0005695359422900434,0.0004546788249849196,-0.026709685371702735,-0.001522544260238955,0.00037623402179720106
0.9,180,50.0,0.0006946696412045983,0.0005304073339612948,0.030162932298309797,0.0008503806819388235,0.0004355155922738538
0.95,190,50.0,0.0009344148998157597,0.0005272016108541024,0.040695968702925495,0.0012924555410521097,0.0004539346662569114
0.98,196,50.0,0.0006815274208005203,0.0005461167034804211,0.02916356448447086,0.0007947751157255448,0.0004599896265596227
1.02,204,50.0,0.00013139716129135864,0.0005695198916944022,0.005505940756955679,-0.00028725262081023904,0.0004802520215731665
1.05,210,50.0,0.00024995887793593656,0.000593699144488062,0.010258535245252345,-9.404036424618583e-05,0.0004953660769737723
1.1,220,50.0,8.826801251242411e-05,0.0006030171777564752,0.0035945001495099253,-0.0004152026549844565,0.0005071384867913062
1.25,250,50.0,0.0006316206392894026,0.0006687356552120945,0.024424690727462953,0.0006024762038840073,0.0005492424838217725
1.5,300,50.0,0.00032626736027750736,0.000705706934353526,0.012281783480201341,-4.537452005257383e-05,0.000637624917667686
2.0,400,50.0,-0.0007372088554249958,0.0009905774908946943,-0.023423204805900637,-0.002280524962717839,0.0008403160091511948
3.0,600,50.0,0.0014028717047233736,0.001193036646746213,0.04061543076498302,0.0015097274810291236,0.0012023051535747147
5.0,1000,50.0,0.0032289164584599016,0.001680258831065987,0.07877142741386564,0.0045064897312967495,0.0018449181293803175
7.0,1400,50.0,0.0065898564828246456,0.0026653014477100016,0.12764470054833577,0.010092286410628717,0.0024265951560841054
10.0,2000,50.0,0.006371283560687515,0.003380194881259116,0.10958624964112029,0.008922339353904688,0.0031035958520054625
0.5,100,100.0,-0.00028623898388745005,7.718692251881031e-05,-0.032580438011387276,-0.0006211504698770029,6.81210414626391e-05
0.75,150,100.0,-0.0002970090040642772,0.00011836960025028336,-0.027299175155165018,-0.0006810591731230176,9.753145537218116e-05
0.9,180,100.0,0.0003475943863561831,0.00013819122499098222,0.029568719721066703,0.0005413305951282608,0.00011311082098702026
0.95,190,100.0,0.0004676490404044107,0.00013740554814366802,0.03989494889165956,0.0007669231587168376,0.00011789507623659788
0.98,196,100.0,0.0003385303777200585,0.00014242244895598178,0.028366674232438927,0.0005159847480525801,0.00011949863123871249
1.02,204,100.0,5.4564659755411695e-05,0.00014861341856861428,0.004475921274332578,-3.563008513056408e-05,0.00012489448486344308
1.05,210,100.0,0.00011335610180970776,0.00015506969478907854,0.009102934893140823,6.801284754628486e-05,0.000128980261838451
1.1,220,100.0,2.9417434491620654e-05,0.00015765537656402178,0.0023428819252770197,-9.591624767847553e-05,0.00013209293179975253
1.25,250,100.0,0.0003065442949741317,0.00017518988375801034,0.023160009102842223,0.00042884787903841725,0.00014325418657876477
1.5,300,100.0,0.00014212028213595934,0.00018590343927739157,0.010423470671283568,9.629190978383605e-05,0.0001672670132528687
2.0,400,100.0,-0.00039180687394160194,0.0002625786725088857,-0.024179222231955927,-0.0009806073779947667,0.00022233177531683752
3.0,600,100.0,0.0007271868383120879,0.0003222850217685039,0.04050661467854363,0.0010757216999879946,0.00032355443187457493
5.0,1000,100.0,0.0017073496216001944,0.00046780539484216933,0.07893867814218854,0.0028027397967636614,0.0005130137939890862
7.0,1400,100.0,0.00351416593926516,0.0007626047496453866,0.12725431343016277,0.006006339481858486,0.0006969399455995868
10.0,2000,100.0,0.003473998700226365,0.001008253743075036,0.10940690440513869,0.005677498123238034,0.000930229113099532
